"","STATE","par_1","par_2"
"1","Alabama",0.714474487197716,0.460751738858651
"2","Alaska",0.600607650238962,0.525599031319822
"3","Arizona",0.621292352795261,0.417867301850778
"4","Arkansas",0.643841780393695,0.438806914291529
"5","California",0.627458221684108,0.38595299126788
"6","Colorado",0.587147881626517,0.439629675272919
"7","Connecticut",0.586188536080173,0.345521071326854
"8","Delaware",0.623005701933798,0.472388346664196
"9","Florida",0.54194448773774,0.337993111182142
"10","Georgia",0.654082858805993,0.437647522472959
"11","Hawaii",0.641237543937507,0.510896579238958
"12","Idaho",0.594156336770873,0.481567210427394
"13","Illinois",0.609642670757586,0.399529883913706
"14","Indiana",0.602435058425586,0.47581476871359
"15","Iowa",0.621634302900292,0.510411158372192
"16","Kansas",0.583951740899284,0.467039217868416
"17","Kentucky",0.697444247545183,0.470244008968273
"18","Louisiana",0.731466016208942,0.427971814434207
"19","Maine",0.649387038534323,0.485064979542306
"20","Maryland",0.60894509675421,0.482777062161293
"21","Massachusetts",0.631964536670678,0.366908686951109
"22","Michigan",0.611100804161554,0.41990247049785
"23","Minnesota",0.566454034366052,0.44476522432823
"24","Mississippi",0.713366334757758,0.46058580864429
"25","Missouri",0.607762955895844,0.451258141517375
"26","Montana",0.606200090213551,0.452133919698469
"27","Nebraska",0.608318287421138,0.499615095607426
"28","Nevada",0.447505436536161,0.3156293715836
"29","New Hampshire",0.563832680136421,0.45320142841693
"30","New Jersey",0.63077180092198,0.397508111951071
"31","New Mexico",0.736899290812965,0.468033023117387
"32","New York",0.627412896560096,0.370802435937921
"33","North Carolina",0.659175266049723,0.458048398083652
"34","North Dakota",0.5818805690415,0.43984594190268
"35","Ohio",0.651868035965945,0.455770199812947
"36","Oklahoma",0.614959664426485,0.43725275466467
"37","Oregon",0.61816431571709,0.436532909837995
"38","Pennsylvania",0.625386102809607,0.442632479046874
"39","Rhode Island",0.71346761872887,0.447979302303035
"40","South Carolina",0.660847627587247,0.443280032078691
"41","South Dakota",0.550280100312802,0.461238570702843
"42","Tennessee",0.637486081528963,0.442455575181665
"43","Texas",0.595711961795045,0.389677070629489
"44","Utah",0.519632005899368,0.460053173016104
"45","Vermont",0.601231352525936,0.471627365702852
"46","Virginia",0.589229151236456,0.480672907978185
"47","Washington",0.589965862212838,0.436295393226013
"48","West Virginia",0.710286552672183,0.484171827574085
"49","Wisconsin",0.56487778948078,0.464351396133223
"50","Wyoming",0.483673680082265,0.413392931544102
